SITENAME,LAYER,COUNTRY,REGION,technocomplex,TC_ID,LEP,DATETYPE,LABID,C14AGE,C14STD,REFS,LON,LAT,quality
Vlakno cave,Stratum 4,Croatia,E,Late Epigravettian,OK,,AMS,Beta-363142,10970,50,Cvitkusic et al. 2018 (QI),15.0302,44.03321,1
Romualdova pe?ina,Rock art IAC,Croatia,E,Late Epigravettian,?,,AMS,Beta-465337,10880,30,Ruiz-Redondo et al. 2019,13.7373,45.1275,4
Grotta delle Mura,LM 3 a-b,Italy,W,Late Epigravettian,OK,,AMS,UtC-1462,10850,100,see Fiorentino and Parra 2012,17.3,40.95,1
?andalja II,B/g,Croatia,E,Late Epigravettian,OK,,non-AMS,GrN-4976,10830,50,Malez- Vogel 1969,13.8967,44.8825,3
Riparo Dalmeri,14b,Italy,W,Late Epigravettian,OK,ER3,non-AMS,R-425,10800,110,see Naudinot et al. 2014,11.60222,45.99361,5
Grotta Scaloria,Trench 8- Level 8,Italy,W,Late Epigravettian,?,,non-AMS,LJ-4978,10790,210,Linick- 1984,15.9167,41.6333,3
Grotta di Paina,5,Italy,W,Late Epigravettian,OK,,AMS,UtC-2698,10760,100,see Naudinot et al. 2014,11.5309,45.4405,1
Grotta Continenza,41,Italy,W,Late Epigravettian,OK,ER2,AMS,LY-10753,10760,140,Boschian et al. 2017,13.5333,41.95,1
Cogola,19,Italy,W,Late Epigravettian,OK,ER3,AMS,UtC-9287,10640,60,see Naudinot et al. 2014,11.2167,45.9333,1
Grotta Romanelli,D,Italy,W,Late Epigravettian,OK,,non-AMS,GrN-2055,10640,100,Milliken 1998,18.493,40.143,5
Pupi?ina pe?,31-32-34,Croatia,E,Late Epigravettian,OK,,non-AMS,Z-2574,10610,200,Miracle 1997,14.26367,45.35845,2
Grotta La Punta,Taglio 26,Italy,W,Late Epigravettian,OK,,non-AMS,PI-153,10581,100,,13.51667,42.01667,2
Boila,horizon IIIb (scree),Greece,E,Late Epigravettian,OK,,AMS,OxA-5245,10560,110,Kotjabopoulou et al. 1997 (in Bailey 1997),20.658938,39.966382,1
Grotta delle Mura,LM 3 a-b,Italy,W,Late Epigravettian,OK,,AMS,?,10540,140,see Fiorentino and Parra 2012,17.3,40.95,1
Soman,sup,Italy,W,Late Epigravettian,OK,,non-AMS,Gd-4511,10510,180,see Naudinot et al. 2014,10.8616,45.5993,2
Soman,sup,Italy,W,Late Epigravettian,OK,,non-AMS,Gd-6159,10470,150,see Naudinot et al. 2014,10.8616,45.5993,2
Le Regole 1,2,Italy,W,Late Epigravettian,OK,,AMS,KIA-14195,10445,32,see Naudinot et al. 2014,11.0985,46.4405,1
Bus  de La Lum,2,Italy,W,Late Epigravettian,OK,,AMS,UtC-8912,10430,50,see Naudinot et al. 2014,12.4395,46.0396,1
Grotta Maritza,US 30,Italy,W,Late Epigravettian,OK,,non-AMS,R-1270,10420,60,,13.42562,42.02841,2
Grotta Maritza,Burial,Italy,W,Late Epigravettian,OK,,non-AMS,R-1271,10420,100,Cremonesi and Radmilli 1964,13.42562,42.02841,2
Klithi,stratum 0010,Greece,E,Epigravettian,?,,AMS,OxA-542,10420,150,Bailey and Gamble 1990,20.66364,39.968089,4
Cogola,19,Italy,W,Late Epigravettian,OK,ER3,AMS,UtC-9286,10380,70,see Naudinot et al. 2014,11.2167,45.9333,1
Vlakno cave,Stratum 4,Croatia,E,Late Epigravettian,OK,,AMS,Beta-416303,10380,40,Cvitkusic et al. 2018 (QI),15.0302,44.03321,1
Le Regole 2,2,Italy,W,Late Epigravettian,OK,,AMS,KIA-14196,10373,32,see Naudinot et al. 2014,11.0985,46.4405,1
Soman,sup,Italy,W,Late Epigravettian,OK,,non-AMS,Gd-6163,10370,110,see Naudinot et al. 2014,10.8616,45.5993,2
Cava Romita,US D2-1,Italy,W,Late Epigravettian,OK,,AMS,UtC-11552,10350,60,Sala- 2009,13.2,43.0667,1
Palu Echen,7,Italy,W,Late Epigravettian,?,,AMS,UtC-13428,10320,60,see Naudinot et al. 2014,11.1878,45.87372,3
Grotta di Pozzo,?,Italy,W,Late Epigravettian,?,,AMS,To-3423,10290,80,Serradimigni- 2013,13.64,41.95,3
Val Lastari,3D-Str. V,Italy,W,Late Epigravettian,OK,ER2,AMS,UtC-2685,10280,110,see Naudinot et al. 2014,11.354,45.7966,5
Pupi?ina pe?,Horizon S,Croatia,E,Late Epigravettian,OK,,AMS,Beta-188919,10280,50,Miracle 2005,14.26367,45.35845,1
Vlakno cave,Stratum 4,Croatia,E,Late Epigravettian,OK,,AMS,Beta-423618,10270,40,Cvitkusic et al. 2018 (QI),15.0302,44.03321,1
Boila,horizon IIIb (scree),Greece,E,Late Epigravettian,OK,,AMS,OxA-5243,10190,90,Kotjabopoulou et al. 1997 (in Bailey 1997),20.658938,39.966382,1
Vlakno cave,Stratum 4 (L. 10),Croatia,E,Late Epigravettian,OK,,non-AMS,Z-3383,10160,100,Brusi?  2005,15.0302,44.03321,3
Pupi?ina pe?,33,Croatia,E,Late Epigravettian,OK,,AMS,Beta-131626,10150,60,Miracle 2001,14.26367,45.35845,1
Pupi?ina pe?,39.1 (Horizon T2b),Croatia,E,Late Epigravettian,OK,,AMS,oxA-8449,10140,180,Miracle 2005,14.26367,45.35845,1
?andalja II,B/d,Croatia,E,Late Epigravettian,OK,,non-AMS,Z-2421,10140,160,Obeli?  et al. 1994,13.8967,44.8825,5
Cava Romita,US C6,Italy,W,Late Epigravettian,?,,non-AMS,LTL201A,10020,65,Guerreschi et al. 2005,13.2,43.0667,3
?andalja II,B/g,Croatia,E,Late Epigravettian,OK,,AMS,oxA-26873,8251,39,Oros Sr?en et al. 2014,13.8967,44.8825,5
Klithi,stratum 0020,Greece,E,Epigravettian,?,,AMS,OxA-747,3560,1000,Bailey and Gamble 1990,20.66364,39.968089,5
